,Nom,police-FR,osm_original_geom,geometry,numero_hab,rue,code_postal,ville,Adresse_full,type
3162,,police_municipale,"SRID=3857;POLYGON((282853.998470088 6244912.11063594,282855.868637534 6244911.94155631,282855.79071389 6244911.50194929,282858.072763451 6244911.02852636,282857.805596673 6244906.34502243,282869.583198799 6244905.53344079,282870.239983795 6244913.63235277,282870.707525656 6244921.91726031,282863.89477282 6244922.52594771,282859.41972929 6244923.40516293,282859.319541748 6244922.91483135,282858.262006586 6244917.65644971,282856.291651599 6244917.45355402,282856.258255751 6244917.03085468,282854.365824408 6244917.14921049,282853.998470088 6244912.11063594))",POINT (2.541005113494392 48.8231943438303),1,,,,,police
3164,,police_municipale,,POINT (2.043918599999995 48.70763149976484),,Place de Luynes,78460,Chevreuse,,police
3169,,police_municipale,"SRID=3857;POLYGON((232475.550279309 6282119.85240005,232500.20754652 6282102.27553905,232507.576896811 6282113.04242347,232479.925135298 6282132.92892905,232476.262724051 6282127.78322756,232479.468725385 6282125.42265928,232475.550279309 6282119.85240005))",POINT (2.088501132913628 49.04274368417823),,Rue du Premier Dragon,95300,Pontoise,,police
3174,Commissariat de police de Courbevoie,police,,POINT (2.252879200000022 48.89390239971865),9,Rue Auguste Beau,92400,Courbevoie,,police
3211,Gendarmerie - Brigade de La-Chapelle-la-Reine,gendarmerie,"SRID=3857;POLYGON((285918.078586122 6160164.5132986,285926.316228441 6160161.1652285,285932.705967212 6160176.43243884,285944.394513746 6160176.23155431,285946.632035511 6160174.3064112,285949.30370329 6160174.89232428,285952.988378435 6160181.30388999,285955.448539181 6160185.53920888,285947.689570673 6160190.26000158,285947.789758215 6160192.51995646,285929.310722743 6160192.9552071,285929.277326896 6160188.0837493,285927.852437414 6160187.91634531,285927.696590127 6160186.04142075,285923.277206342 6160185.85727639,285920.215920345 6160184.06605425,285923.399657782 6160178.9267554,285918.078586122 6160164.5132986))",POINT (2.568600235032853 48.31953988268856),,,,,,police
3212,Gendarmerie - Brigade d'Asnières-sur-Oise,gendarmerie,,POINT (2.373987699999957 49.13866629965804),,,,,,police
3214,Police Municipale - Centre de supervision urbain,police_municipale,"SRID=3857;POLYGON((227297.501901162 6263332.35413224,227302.800708924 6263327.49097955,227301.620722322 6263326.08456308,227309.891760487 6263318.59497576,227311.116274886 6263319.98444621,227311.850983525 6263319.30665571,227312.017962762 6263319.4930481,227324.174051156 6263333.47248831,227319.554292288 6263337.65785247,227313.598699531 6263343.06324488,227310.025343876 6263346.29970407,227305.661619837 6263341.43654336,227301.03072902 6263336.28532391,227297.501901162 6263332.35413224))",POINT (2.04196609153215 48.93200720830744),20,Rue Jean-Claude Mary,78300,Poissy,,police
3218,,police_municipale,,POINT (2.39480270000003 48.82575649973553),,,,,,police
3227,Commissariat du 14e arrondissement,police,"SRID=3857;POLYGON((258582.397635231 6247106.15217763,258585.959858937 6247099.92843806,258587.106449692 6247097.42541364,258589.021144934 6247092.67305176,258593.184493889 6247076.53871849,258593.796751089 6247076.67401675,258594.230897103 6247074.94896404,258605.474165673 6247078.1622978,258604.973227964 6247079.87043888,258609.303556156 6247081.03738694,258610.205244032 6247077.73949066,258608.023382012 6247077.11373612,258609.3814798 6247072.09078925,258611.574473768 6247072.69963113,258613.73407189 6247064.61556742,258631.278023639 6247069.09731727,258612.030883681 6247140.36591466,258597.89330835 6247147.58751695,258595.644654636 6247144.15429542,258593.162229991 6247140.41665189,258590.490562212 6247136.39149916,258588.275304345 6247132.95828217,258589.466422897 6247132.31561116,258591.12508331 6247131.25013039,258592.639028384 6247129.99861347,258594.331084644 6247128.18898797,258595.934085312 6247126.0580276,258597.203127507 6247123.96089252,258598.316322415 6247121.67772185,258600.587240027 6247113.30610134,258598.405378008 6247112.68034418,258597.971231993 6247114.38849221,258584.924587672 6247110.98910884,258585.525712923 6247108.68902932,258582.397635231 6247106.15217763))",POINT (2.323105977513295 48.83613770227581),,,,,,police
3230,,police_municipale,,POINT (2.253830099999974 48.92266059971151),,,,,,police
