,Nom,police-FR,osm_original_geom,geometry,numero_hab,rue,code_postal,ville,Adresse_full,type
3831,,police_municipale,,POINT (2.180246999999979 48.88668489972041),,,,,,police
3846,Gendarmerie - Brigade de Mortcerf,gendarmerie,"SRID=3857;POLYGON((324745.560002279 6238822.24152222,324746.561877696 6238794.02555004,324761.812647934 6238794.53242296,324760.810772517 6238824.94485382,324755.244797978 6238823.93110437,324745.560002279 6238822.24152222))",POINT (2.91731284830781 48.78707233957066),,,,,,police
3870,Commissariat de police de Villeneuve-la-Garenne,police,,POINT (2.331333499999997 48.93127599970937),19bis,Rue du Fond de la Noue,92390,Villeneuve-la-Garenne,,police
3872,,gendarmerie,,POINT (2.154342199999993 48.71002419976426),,,,,,police
3885,,police_municipale,,POINT (3.130233400000023 48.92697219971043),,,,,,police
3906,,police_municipale,,POINT (2.149817299999998 48.90803529971512),,,,,,police
3927,Commissariat de police d'Evry,police,"SRID=3857;POLYGON((270874.663162944 6212343.16028385,270894.567087898 6212317.89552361,270939.16167591 6212261.25220411,270986.361140006 6212299.23333561,270995.511602149 6212306.59377851,270981.062332245 6212325.12123737,270996.012539858 6212337.24832322,270986.416799752 6212349.5607017,270983.28872206 6212347.21949566,270948.23421441 6212392.10675971,270938.67187015 6212384.74624275,270959.054468915 6212358.13390053,270956.516384525 6212355.96112437,270951.139653119 6212362.86684897,270913.034991421 6212332.5490754,270893.09767062 6212357.79703597,270874.663162944 6212343.16028385),(270924.968440834 6212314.45952202,270947.365922381 6212332.63329129,270965.76703421 6212309.40658103,270943.191441477 6212291.67078193,270924.968440834 6212314.45952202))",POINT (2.43391999327607 48.63006704711007),,Boulevard de France,91000,Évry,,police
3931,,police_municipale,,POINT (2.597937199999974 48.91256679971401),18,Rue des Ormeaux,77181,Courtry,,police
3934,,,,POINT (2.275319200000013 48.86755659972518),75,Rue de la Faisanderie,75016,,,police
3959,,police_municipale,,POINT (2.41584009999999 48.87883119972236),,,,,,police
3961,,police_municipale,,POINT (2.421482499999972 49.00196949969186),7,,,,,police
3962,Police municipale intercommunale,police_municipale,"SRID=3857;POLYGON((251301.03427024 6276182.17729355,251304.351591065 6276174.57448612,251302.859909889 6276173.89566436,251307.31268952 6276163.67940347,251306.923071303 6276163.54363928,251308.871162392 6276159.04645201,251309.038141628 6276158.67310073,251309.461155693 6276158.82583534,251325.93644033 6276132.84401982,251330.89015767 6276135.4065598,251342.189085986 6276110.08666246,251350.749554828 6276113.71833208,251320.960459092 6276181.90576459,251319.635757151 6276181.31179504,251316.318436326 6276188.88066738,251301.03427024 6276182.17729355))",POINT (2.257683928435973 49.00761475230265),,,,,,police
3987,,,,POINT (2.65462819999996 48.54710189980456),,Avenue du 13e Dragons,77000,Melun,,police
3989,,police_municipale,,POINT (2.044176699999961 48.9728582996991),,,,,,police
3990,,police_municipale,"SRID=3857;POLYGON((237148.364016542 6256702.16941189,237158.371638765 6256699.24025998,237162.278952892 6256698.0889173,237170.293956229 6256695.73543792,237172.409026554 6256703.69324855,237175.748611278 6256716.22258257,237168.846802848 6256718.25436822,237167.510968959 6256718.7623147,237166.28645456 6256715.03737451,237168.401524885 6256714.19079742,237165.618537615 6256705.04777025,237155.822422426 6256707.75681431,237159.384646131 6256720.9634165,237153.7073521 6256722.65657212,237152.694344734 6256718.7623147,237151.736997113 6256715.10510067,237149.065329334 6256704.8615235,237148.364016542 6256702.16941189))",POINT (2.130462074271727 48.89289758760069),,,,,,police
4004,Commissariat de police du Raincy,police,,POINT (2.512761699999996 48.88928329971977),,,,,,police
4013,Commissariat de police de Brie-Comte-Robert,police,,POINT (2.608802900000041 48.69318259976841),,,,,,police
4016,Commissariat de police de Saint-Cloud,police,,POINT (2.219900799999994 48.84564249973059),27,Rue Dailly,92210,Saint-Cloud,,police
4026,,police_municipale,,POINT (2.206113999999983 49.05082599967974),,,,,,police
4033,,police_municipale,,POINT (2.344581900000037 48.97616349969824),6,Rue de Montmorency,95360,,,police
4039,Commissariat de police de Paris 12ème arrondissement,police,,POINT (2.381178299999974 48.84422179973095),,,,,,police
4057,Brigade de gendarmerie de Breuillet,gendarmerie,"SRID=3857;POLYGON((241238.197580491 6202688.98537218,241245.82296561 6202674.56714333,241254.928899957 6202679.37882492,241263.444841003 6202663.22773665,241273.597178563 6202668.61142933,241264.891994383 6202685.09900937,241267.007064708 6202686.20939856,241259.548658825 6202700.3416373,241248.550293135 6202694.48684983,241242.260741905 6202691.15567945,241238.197580491 6202688.98537218))",POINT (2.167245727200702 48.57279908344908),75,Route de Saint-Chéron,91650,Breuillet,,police
4062,Commissariat de police d'Herblay,police,"SRID=3857;POLYGON((240965.576147538 6273085.41391989,240990.322470342 6273062.69869562,240992.39301287 6273065.20941196,241012.5863685 6273047.43084207,241023.551338343 6273060.20494432,241003.602885593 6273077.88175511,241001.398759676 6273075.45585663,240976.841680007 6273097.74700598,240965.576147538 6273085.41391989))",POINT (2.164890146829543 48.98945569928264),,,,,,police
4067,,police_municipale,,POINT (2.691036200000037 48.88151139972173),,,,,,police
4075,,police_municipale,"SRID=3857;POLYGON((270906.533933158 6255331.86028189,270915.840242589 6255328.20366698,270921.795835346 6255343.21949846,270928.296893609 6255340.59553501,270927.684636409 6255339.0719437,270938.415835322 6255334.73817436,270939.072620317 6255336.51569667,270945.462359089 6255333.99330798,270939.573558026 6255319.11292287,270948.679492373 6255315.6594584,270956.104502409 6255335.78775892,270956.772419353 6255337.98850116,270915.317040982 6255354.08779445,270906.533933158 6255331.86028189))",POINT (2.433828512750805 48.88480141374644),,,,,,police
4078,,,,POINT (2.346286800000006 48.85506789972828),,,,,,police
4114,Gendarmerie - Brigade de Marines,gendarmerie,"SRID=3857;POLYGON((221517.437716805 6298951.12236181,221518.21695324 6298939.55122077,221531.130014172 6298940.40203942,221530.7960557 6298939.04072962,221549.831688626 6298933.2551654,221554.284468257 6298949.25055851,221534.469598896 6298954.5256416,221533.022445516 6298979.70995479,221518.550911713 6298978.68896766,221520.209572126 6298953.33449352,221520.332023566 6298951.46268972,221517.437716805 6298951.12236181))",POINT (1.990057136768416 49.14178647032052),,,,,,police
4125,,police_municipale,"SRID=3857;POLYGON((272851.864298669 6214961.75467307,272852.420896123 6214947.60203772,272867.560346871 6214948.10748857,272867.003749417 6214962.42860868,272851.864298669 6214961.75467307))",POINT (2.451140633738126 48.64569075630347),,,,,,police
4128,Commissariat Central du 5e arrondissement,police,,POINT (2.348277000000035 48.84941459972969),,,,,,police
4147,Commissariat de police de Stains,police,,POINT (2.381740099999996 48.96021179970221),47,Avenue Marcel Cachin,,,,police
4160,Commissariat de police des Mureaux,police,,POINT (1.911064399999974 48.99767289969289),26,Avenue Félix Faure,78130,Les Mureaux,,police
4179,Commissariat de police de Fontainebleau,police,"SRID=3857;POLYGON((300591.401230209 6174713.62583673,300609.423855768 6174693.05039997,300612.295898631 6174696.23648717,300619.542797481 6174704.15140369,300626.889883874 6174711.98248299,300616.069629368 6174723.35181434,300606.774451887 6174714.56489615,300606.206722484 6174715.16857726,300606.206722484 6174716.292095,300604.180707752 6174718.45528629,300603.034116997 6174718.67328235,300601.653755311 6174717.39884397,300598.770580499 6174720.48432668,300591.401230209 6174713.62583673))",POINT (2.700421769108148 48.4062568656331),11bis,Place de la République,77300,Fontainebleau,,police
4183,,,,POINT (2.496624199999964 48.69721709976742),5,Avenue Pierre Prost,91800,Brunoy,,police
4190,Brigade de gendarmerie de Persan,gendarmerie,"SRID=3857;POLYGON((254138.278659884 6299960.93573365,254148.186094565 6299950.21412742,254152.082276743 6299953.95817884,254155.644500448 6299950.21412742,254164.438740221 6299958.7233376,254165.885893601 6299960.42518066,254162.546308877 6299964.33942101,254177.908398607 6299979.65603117,254186.034721435 6299971.65735351,254199.727018802 6299985.61249819,254194.383683244 6299992.5900792,254217.872095801 6300013.18248606,254200.617574729 6300035.47680143,254181.13666384 6300018.62842025,254165.106657165 6300005.18377659,254164.995337675 6300002.80118375,254173.678257956 6299994.4621141,254164.32742073 6299985.61249819,254156.869014847 6299978.63492296,254155.310541976 6299980.33677005,254150.969081835 6299976.08215298,254152.638874197 6299974.38030676,254138.278659884 6299960.93573365))",POINT (2.283344407548249 49.14789736212997),,,,,,police
4209,,,"SRID=3857;POLYGON((268816.065215552 6247726.68873201,268820.395543743 6247713.732939,268820.751766114 6247712.63355799,268830.982027318 6247715.77947939,268833.776146537 6247714.54478967,268837.416293886 6247705.27616573,268843.917352148 6247707.79628328,268851.442549726 6247710.87454869,268844.507345449 6247729.07354724,268842.748497495 6247731.44144956,268838.885711164 6247733.3019447,268837.36063414 6247733.40342626,268816.065215552 6247726.68873201))",POINT (2.414983090918919 48.83978858861402),,,,,,police
4226,,police_municipale,,POINT (2.350261400000034 48.93561549970831),,,,,,police
4229,,police_municipale,,POINT (2.189763300000015 48.78268769974621),,,,,,police
4242,,police_municipale,,POINT (2.244553600000009 49.01863089968769),,,,,,police
4267,,police_municipale,,POINT (2.457977599999976 49.03090279968467),,,,,,police
4275,,police_municipale,,POINT (1.839253799999969 48.64482009978045),,,,,,police
4280,Brigade de gendarmerie de Magny-les-Hameaux,gendarmerie,"SRID=3857;POLYGON((231772.166944783 6228400.159086,231772.178076732 6228399.55158337,231773.135424353 6228397.03719797,231774.671633326 6228395.63656749,231776.864627295 6228394.94468987,231778.545551606 6228395.07969038,231779.558558972 6228395.46781685,231782.564185223 6228383.11527882,231783.321157761 6228383.28402922,231784.478880465 6228378.4240191,231783.799831571 6228378.23839376,231795.221211326 6228331.98406268,231796.735156401 6228332.32156144,231797.881747156 6228328.00157824,231806.520139642 6228330.19531943,231805.462604479 6228334.51530375,231807.054473198 6228334.92030239,231791.391820843 6228398.08345221,231795.087627937 6228399.01158107,231791.903890501 6228411.80289474,231779.224600499 6228408.57975188,231780.382323204 6228403.75347743,231777.443488647 6228402.84222312,231776.953682887 6228401.96471906,231777.04273848 6228401.3572163,231772.166944783 6228400.159086))",POINT (2.082221324547739 48.72526083441425),1,Rue Marc-Antoine Charpentier,78114,Magny-les-Hameaux,,police
4297,,police_municipale,"SRID=3857;POLYGON((233085.547693009 6274278.73608819,233086.070894616 6274276.59827948,233086.99484639 6274272.96739925,233103.024853064 6274277.81988439,233100.119414354 6274290.42617873,233087.206353422 6274286.65955853,233089.210104256 6274279.72015905,233085.547693009 6274278.73608819))",POINT (2.09392280510256 48.99658289954741),,,,,,police
4322,,,"SRID=3857;POLYGON((240140.053067714 6264807.3739915,240143.8379304 6264803.71327988,240157.051553958 6264798.29000632,240192.362096437 6264835.16833509,240178.658667121 6264847.6758195,240140.053067714 6264807.3739915))",POINT (2.157453630841006 48.94079755058088),36,Rue Louise Michel,78500,Sartrouville,,police
4341,,,"SRID=3857;POLYGON((194369.085205021 6272628.32206691,194416.262405219 6272591.88470794,194449.702780254 6272637.87248074,194404.317823857 6272672.51190528,194369.085205021 6272628.32206691))",POINT (1.746412421522836 48.98686214220312),,,,,,police
4345,,,,POINT (2.388428900000013 48.84012549973201),191,Rue de Charenton,75012,Paris,,police
4356,,police_municipale,,POINT (2.846854199999981 48.3886549998436),,,,,,police
4361,,police_municipale,,POINT (2.29087760000003 48.79053039974429),,,,,,police
4382,,police_municipale,,POINT (2.356857800000045 48.77192139974889),,,,,,police
4402,Commissariat de police de Champs sur Marne,police,,POINT (2.582242500000002 48.84934309972972),,,,,,police
4416,,police_municipale,"SRID=3857;POLYGON((290690.367420328 6241315.58634824,290705.395551585 6241296.82649233,290705.952149039 6241297.33351492,290703.614439732 6241300.03763589,290712.408679505 6241307.30496529,290714.746388812 6241304.43183432,290718.75389048 6241307.64298076,290720.201043861 6241305.95290353,290723.540628584 6241308.82603502,290729.106603124 6241313.38924586,290727.770769234 6241315.07932457,290730.108478541 6241317.0229155,290732.446187848 6241318.96650688,290733.782021737 6241317.44543532,290734.338619191 6241317.7834512,290731.555631922 6241321.50162674,290734.338619191 6241323.86773929,290735.897092062 6241322.0086508,290736.453689516 6241322.51567489,290722.427433676 6241339.58550373,290721.870836222 6241339.07847861,290722.761392149 6241338.06442848,290710.070970198 6241327.41690936,290709.069094781 6241328.76897453,290708.067219364 6241327.75492563,290702.055966861 6241322.85369097,290702.835203297 6241321.67063475,290702.278605843 6241321.33261872,290700.274855009 6241323.69873123,290699.606938064 6241323.19170707,290700.831452463 6241321.83964277,290692.03721269 6241314.57230092,290690.924017782 6241315.92436405,290690.367420328 6241315.58634824))",POINT (2.611530580891916 48.80192205743251),82,Avenue du Général de Gaulle,77340,Pontault-Combault,,police
4440,Commissariat de police de Clichy-sous-Bois,police,,POINT (2.547949500000036 48.90455219971598),,,,,,police
4455,Commissariat de police de Saint-Ouen,police,,POINT (2.338749699999988 48.9072567997153),,,,,,police
4457,Commissariat de police de Puteaux,police,,POINT (2.237604300000005 48.88382729972112),2,Rue Chante Coq,92800,Puteaux,,police
4478,Commissariat de police de Neuilly-sur-Seine,police,,POINT (2.258719799999958 48.88773229972015),,Rue du Pont,92200,Neuilly-sur-Seine,,police
4502,Commissariat de police de Houilles,police,"SRID=3857;POLYGON((243346.388361032 6262272.01576451,243373.227490262 6262240.18055841,243375.765574652 6262241.97647425,243380.986458771 6262236.0804501,243406.26711513 6262257.37731533,243424.601435263 6262272.86289777,243414.805320074 6262284.5533453,243402.281877359 6262309.61161986,243376.745186171 6262289.17870074,243372.960323484 6262293.31272019,243346.388361032 6262272.01576451))",POINT (2.18637665495364 48.92574845022133),80,Rue Hoche,78800,Houilles,,police
4510,,,"SRID=3857;POLYGON((281945.887460044 6263901.19283708,281951.909844496 6263888.34783401,281971.20151225 6263897.02414001,281965.1568639 6263910.12334543,281945.887460044 6263901.19283708))",POINT (2.532876874078256 48.93535257369282),6,Rue de la Gare,93270,Sevran,,police
4512,Commissariat de police de La Garenne-Colombes,police,,POINT (2.240353500000016 48.90617709971562),98,Rue Sartoris,92250,La Garenne Colombes,,police
4526,,police_municipale,,POINT (2.589434999999997 48.90358449971623),117,Avenue des Sciences,77500,Chelles,,police
4549,,police,,POINT (2.284441800000006 48.84727509973018),44,Rue Linois,75015,Paris,,police
4551,,police_municipale,"SRID=3857;POLYGON((297562.119586997 6234442.11793791,297562.56486496 6234420.50248355,297569.800631861 6234420.67135407,297569.466673389 6234442.28680886,297562.119586997 6234442.11793791))",POINT (2.673080744898271 48.76115666256435),6,Rue Jean Mermoz,,,,police
4556,Commissariat de police de Champigny-sur-Marne,police,,POINT (2.550365000000026 48.80699069974022),,,,,,police
4557,,police,,POINT (2.310625200000036 48.60456619979034),,,,,,police
4572,Gendarmerie - Brigade de Saint-Pierre-du-Perray,gendarmerie,"SRID=3857;POLYGON((277997.997378806 6210139.79970734,278002.695061317 6210125.35200096,278001.259039886 6210124.74580403,278005.400124944 6210111.49367631,278010.209126946 6210109.06889279,278009.441022459 6210106.93036901,278017.355838255 6210102.82171065,278016.966220037 6210102.0639665,278030.402482576 6210095.16007845,278036.413735079 6210106.7283038,278044.428738416 6210102.73751686,278040.499160391 6210094.40233498,278048.113413561 6210090.46207003,278052.410345906 6210098.69621553,278055.360312412 6210097.23124428,278059.434605775 6210105.46539634,278057.542174431 6210106.37468969,278061.382696864 6210114.2215586,278063.152676767 6210113.29542563,278067.160178436 6210121.46223806,278071.089756461 6210119.52577667,278073.371806022 6210124.07225193,278071.490506628 6210125.04890249,278075.20857762 6210132.55901226,278077.112140913 6210131.58236084,278082.288497235 6210142.10662777,278063.141544818 6210151.87315913,278057.909528751 6210141.2478471,278059.757432298 6210140.32171118,278056.017097407 6210132.71056163,278054.102402166 6210133.67037436,278048.825858302 6210123.04508509,278045.063259513 6210124.76264283,278037.738437019 6210109.84347634,278027.819870389 6210114.54149547,278026.194605824 6210111.40948243,278018.725067992 6210114.9119487,278017.300178509 6210119.39106633,278019.181477904 6210119.99726288,278017.767720371 6210124.47638318,278021.229756534 6210125.75613228,278016.298303092 6210140.64164903,278010.309314488 6210138.85673275,278008.873293056 6210143.26850763,277997.997378806 6210139.79970734))",POINT (2.497678465676834 48.61699172294032),,Chemin de Brie,91280,Saint-Pierre-du-Perray,,police
4575,,,,POINT (2.343512499999986 48.85537309972818),,,,,,police
4597,,,,POINT (2.344617300000001 48.86662649972544),,,,,,police
4626,,police,,POINT (2.294398600000002 48.85772399972759),,,,,,police
4648,,gendarmerie,"SRID=3857;POLYGON((300578.588356818 6175254.03808892,300580.892670278 6175252.56233081,300586.080158549 6175249.25864596,300594.941190016 6175262.40631304,300597.06739229 6175265.55907295,300609.624230852 6175257.14053578,300607.742931457 6175253.83684916,300600.084150491 6175240.40410609,300606.429361466 6175236.24515872,300622.281256955 6175260.15913381,300622.715402969 6175260.86347351,300595.264016539 6175278.53906488,300594.674023238 6175277.65025343,300578.588356818 6175254.03808892))",POINT (2.700353338959431 48.40953594645649),,Rue des Bois,,,,police
4659,,police_municipale,"SRID=3857;POLYGON((226012.785921815 6241172.91108151,226016.570784502 6241170.37600609,226015.123631122 6241167.90853341,226021.023564134 6241164.24112671,226031.598915759 6241181.69934884,226025.565399358 6241185.34986257,226021.713744977 6241179.02906665,226017.873222544 6241181.37823892,226012.785921815 6241172.91108151))",POINT (2.030389003227881 48.80107468703849),6,Avenue Paul Vaillant Couturier,78390,Bois-d'Arcy,,police
4661,,,"SRID=3857;POLYGON((269874.401878421 6229369.501795,269875.737712311 6229353.56992079,269889.619252813 6229355.1394791,269887.893800705 6229370.73381618,269884.131201917 6229370.2950141,269882.76197218 6229383.00340673,269877.118073997 6229382.56460401,269878.16447721 6229369.78870403,269874.401878421 6229369.501795))",POINT (2.424387228631102 48.73115061960311),,,,,,police
4674,Service de protection et de sécurisation - Direction de l'ordre public et de la circulation,,,POINT (2.36230460000002 48.84136689973164),24-26,Boulevard de l'Hôpital,75005,Paris,,police
4687,Commissariat de police de Boissy-Saint-Léger,police,"SRID=3857;POLYGON((278663.743593495 6233243.89429629,278665.190746875 6233236.97156804,278670.756721415 6233238.15349685,278676.879293409 6233208.26763316,278685.339574709 6233209.95609722,278687.677284016 6233197.96800961,278688.34520096 6233196.44839408,278689.347076378 6233194.92877882,278690.460271285 6233193.71308681,278692.130063647 6233192.39608733,278693.799856009 6233191.551857,278732.650358296 6233199.48762541,278739.440847235 6233202.35801156,278728.197578664 6233249.80394682,278701.035622911 6233264.83136243,278675.766098501 6233260.44132815,278678.549085771 6233246.93354462,278663.743593495 6233243.89429629))",POINT (2.503634359671006 48.75402980870809),,,,,,police
4690,,police_municipale,,POINT (2.851162700000045 48.88347629972122),,,,,,police
4697,Brigade de gendarmerie de Coulommiers,gendarmerie,"SRID=3857;POLYGON((343683.565734503 6243685.74644735,343693.473169183 6243637.73491619,343695.922197981 6243638.58018727,343709.503175857 6243629.78937212,343710.059773311 6243627.42261575,343729.095406237 6243631.14180463,343726.535057949 6243644.66614156,343707.833383496 6243641.28505531,343705.60699368 6243653.11886311,343710.727690256 6243654.13319026,343712.063524146 6243647.54006594,343736.887770593 6243652.27359058,343735.885895176 6243658.52860932,343728.984086746 6243662.92403066,343732.546310452 6243668.67189278,343739.559438372 6243664.10741372,343744.457495967 6243672.56015466,343729.652003691 6243682.3653447,343720.301166464 6243667.48850909,343708.50130044 6243664.95268744,343709.83713433 6243658.19050008,343704.827757244 6243657.34522704,343701.265533539 6243674.75786868,343719.855888501 6243678.30802331,343716.738942759 6243692.33960139,343683.565734503 6243685.74644735))",POINT (3.087604057534806 48.81578362064717),27,,,,,police
4714,,police_municipale,,POINT (2.394988300000019 48.755279799753),111,Rue du Pavé de Grignon,94320,Thiais,,police
4750,Gendarmerie - Brigade de Lardy,gendarmerie,"SRID=3857;POLYGON((250748.689220822 6193669.10982985,250751.015798179 6193656.11859878,250756.526112973 6193657.21100425,250756.848939497 6193655.17744957,250758.240433132 6193655.36231815,250759.331364141 6193651.59772224,250756.526112973 6193651.12714787,250757.995530252 6193644.40465969,250760.388899304 6193644.48869076,250761.424170568 6193638.37123106,250770.975382878 6193639.76614594,250771.253681605 6193638.18636284,250778.667559692 6193639.51405287,250777.932851053 6193642.64000742,250784.411645417 6193643.71560495,250785.70295151 6193638.58971169,250801.721826236 6193642.00137145,250799.907318536 6193649.31207554,250798.28205397 6193657.31184169,250805.818383497 6193658.9588533,250801.376735814 6193677.52977158,250786.949729807 6193674.37019167,250788.519334628 6193667.95019781,250779.814150447 6193666.15192815,250777.9662469 6193674.45422304,250764.173761991 6193671.66438215,250763.483581148 6193674.48783558,250758.318356775 6193673.34500908,250758.908350076 6193670.63919989,250748.689220822 6193669.10982985))",POINT (2.252780564642352 48.51912566191416),36,Rue de la Roche qui Tourne,,,,police
4781,,,"SRID=3857;POLYGON((252369.912888888 6230157.49181463,252516.876880633 6230139.51615816,252700.531776544 6230116.9833468,252723.06284148 6230192.02543618,252744.647690745 6230235.89312778,252741.764515934 6230245.00764391,252733.860832087 6230293.43289474,252695.25523268 6230330.60017955,252625.24640492 6230403.48363849,252591.227168534 6230402.63968564,252586.651937462 6230402.52153225,252481.878032727 6230400.59732009,252464.857282585 6230392.69792736,252416.422172141 6230323.4097657,252394.124878135 6230239.9777801,252393.70186407 6230238.91442001,252369.912888888 6230157.49181463))",POINT (2.268811708208613 48.73642750579717),,,,,,police
4784,,,"SRID=3857;POLYGON((261655.60594951 6250135.67736327,261663.943779371 6250127.06590636,261680.808682226 6250109.6230804,261683.291106871 6250107.08532985,261691.628936731 6250098.49082033,261710.107972203 6250119.24962103,261745.08455621 6250148.33232958,261735.010142293 6250160.17522963,261723.021033135 6250174.30213919,261718.523725707 6250179.59762154,261712.790771931 6250174.1329545,261703.439934704 6250184.53781892,261691.695728426 6250174.06528063,261686.252205326 6250169.1081709,261685.706739821 6250168.3130034,261685.161274316 6250168.80363865,261680.741890532 6250164.3033301,261675.231575737 6250157.2821768,261667.416947484 6250148.38308484,261662.61907743 6250142.91843794,261662.26285506 6250142.5123962,261661.750785402 6250142.5123962,261655.60594951 6250135.67736327))",POINT (2.350887297358829 48.85411173901912),,,,,,police
4802,,police_municipale,,POINT (2.700697400000019 48.87686479972287),,,,,,police
4819,,police_municipale,,POINT (2.246618600000025 48.90735219971531),,,,,,police
4821,,police_municipale,,POINT (2.084244399999982 48.72401189976078),,,,,,police
4837,,police_municipale,"SRID=3857;POLYGON((282600.590781246 6267141.02720751,282610.620667367 6267137.43329535,282617.934357912 6267157.57278506,282607.904471792 6267161.18365824,282600.590781246 6267141.02720751))",POINT (2.538722197381508 48.95452823143732),,,,,,police
4844,,police_municipale,,POINT (2.187731100000015 48.69943459976686),,,,,,police
4847,Police municipale intercommunale,police_municipale,"SRID=3857;POLYGON((243599.985293008 6188722.73269346,243605.907489918 6188719.3398005,243602.912995616 6188713.49462173,243611.417804713 6188709.51385573,243620.813169736 6188726.76385517,243606.352767882 6188734.52384684,243599.985293008 6188722.73269346))",POINT (2.188385785869854 48.48975295402311),,,,,,police
4852,Gendarmerie - Brigade motorisée d'Étampes,gendarmerie,,POINT (2.148768300000017 48.44149499983056),76,Avenue du 8 Mai 1945,91150,Étampes,,police
4877,Commissariat de police de La Défense,police,,POINT (2.242211699999997 48.89129899971929),,,,,,police
4880,,police,,POINT (2.301226099999992 48.81987119973702),,,,,,police
4886,Brigade de gendarmerie de Limay,gendarmerie,"SRID=3857;POLYGON((193290.989332535 6274021.37155856,193312.752292986 6274001.79256184,193310.993445031 6273999.68875554,193323.995561556 6273987.74457482,193351.035065869 6274017.02820703,193337.988421548 6274029.02332784,193325.364791292 6274015.29765352,193303.523907199 6274035.09724276,193290.989332535 6274021.37155856))",POINT (1.736632514380144 48.9949982317766),,,,,,police
4887,Commissariat de police de Maisons-Laffitte,police,,POINT (2.144914800000034 48.94647549970558),10,Rue Jean Mermoz,78600,Maisons-Laffitte,,police
4895,,police_municipale,,POINT (2.249723700000006 48.58715969979468),16,Boulevard Abel Cornaton,91290,Arpajon,,police
4902,Commissariat de police des Lilas,police,,POINT (2.414826499999972 48.8824468997215),,,,,,police
4908,,,"SRID=3857;POLYGON((269998.144624387 6244054.00731666,269998.868201077 6244035.05543022,269998.901596925 6244028.59725914,270010.20052524 6244028.83394595,270009.098462281 6244054.49759796,269998.144624387 6244054.00731666))",POINT (2.42548843305556 48.81803194021069),47,Rue du Maréchal Leclerc,94410,Saint-Maurice,,police
4938,Commissariat de police de Fontenay-sous-Bois,police,"SRID=3857;POLYGON((275448.6585882 6249338.45260057,275466.102352407 6249326.15409647,275487.186263964 6249356.23217522,275481.319726799 6249360.29221652,275484.637047624 6249364.75826421,275477.980142075 6249369.34273227,275481.575761628 6249374.41779207,275477.568259959 6249377.27674376,275477.468072417 6249379.71277436,275477.022794454 6249381.09995877,275476.243558019 6249382.36872519,275475.186022856 6249383.58674114,275462.451073109 6249392.38352818,275454.914743583 6249381.65821597,275457.753390598 6249379.74660813,275456.684723486 6249378.13950452,275456.016806541 6249378.57934337,275452.521374531 6249373.36894613,275466.480838676 6249363.65866892,275448.6585882 6249338.45260057))",POINT (2.474570044965252 48.84947327623988),,,,,,police
4939,Brigade de gendarmerie de Coubert,gendarmerie,,POINT (2.692373599999974 48.67208859977363),,,,,,police
4955,Commissariat de police d'Argenteuil,police,"SRID=3857;POLYGON((251066.083352971 6265558.20926163,251075.367398504 6265552.19228104,251087.890841218 6265544.0397029,251096.974511667 6265538.03968161,251099.033922246 6265536.66679598,251102.117472141 6265477.31089203,251102.317847225 6265476.71767407,251104.577632888 6265467.75161349,251106.637043467 6265459.29403386,251123.056668359 6265463.39570469,251200.735409035 6265482.00578988,251200.100887937 6265483.80239408,251197.540539649 6265489.76847868,251194.167559078 6265496.92100611,251194.167559078 6265518.42947219,251196.115650167 6265520.81930513,251174.163446583 6265519.46337147,251168.942562464 6265576.20938121,251139.231390372 6265573.81953262,251139.37610571 6265571.27714125,251118.726340168 6265569.34492431,251113.460928253 6265568.93814185,251110.433038104 6265568.71780137,251097.308470139 6265577.56532397,251097.186018699 6265577.61617184,251095.260191508 6265578.93821625,251084.740499628 6265586.09081908,251066.083352971 6265558.20926163))",POINT (2.25599130117459 48.94492817676796),,,,,,police
4957,Commissariat de police d'Alfortville,police,,POINT (2.414985700000024 48.80546549974058),,,,,,police
4968,Brigade de gendarmerie de Bréval,gendarmerie,"SRID=3857;POLYGON((169722.615984918 6265554.8702606,169744.657244095 6265553.85330624,169744.879883077 6265558.0906169,169746.883633911 6265557.92112443,169747.551550856 6265566.22625931,169745.659119512 6265566.39575194,169746.215716966 6265580.63314528,169740.204464463 6265580.97213113,169740.315783954 6265583.17553947,169740.204464463 6265584.36199035,169730.408349273 6265585.20945537,169730.408349273 6265584.19249736,169730.074390801 6265580.29415945,169728.404598439 6265578.26024473,169724.174457789 6265578.59923048,169723.283901863 6265565.88727405,169722.8386239 6265558.42960184,169722.615984918 6265554.8702606))",POINT (1.524755917228254 48.94520033095885),,,,,,police
