,Nom,police-FR,geometry,numero_hab,rue,code_postal,ville,Adresse
3872,,gendarmerie,POINT (2.154342199999993 48.71002419976426),,,,,
3884,,police_municipale,POINT (3.130233400000023 48.92697219971043),,,,,
3905,,police_municipale,POINT (2.149817299999998 48.90803529971512),,,,,
3926,Commissariat de police d'Evry,police,POINT (2.43391999327607 48.63006704711007),,Boulevard de France,91000,Évry,
3930,,police_municipale,POINT (2.597937199999974 48.91256679971401),18,Rue des Ormeaux,77181,Courtry,
3933,,,POINT (2.275319200000013 48.86755659972518),75,Rue de la Faisanderie,75016,,
3958,,police_municipale,POINT (2.41584009999999 48.87883119972236),,,,,
3960,,police_municipale,POINT (2.421482499999972 49.00196949969186),7,,,,
3961,Police municipale intercommunale,police_municipale,POINT (2.257683928435973 49.00761475230265),,,,,
3986,,,POINT (2.65462819999996 48.54710189980456),,Avenue du 13e Dragons,77000,Melun,
3988,,police_municipale,POINT (2.044176699999961 48.9728582996991),,,,,
3989,,police_municipale,POINT (2.130462074271727 48.89289758760069),,,,,
4003,Commissariat de police du Raincy,police,POINT (2.512761699999996 48.88928329971977),,,,,
4012,Commissariat de police de Brie-Comte-Robert,police,POINT (2.608802900000041 48.69318259976841),,,,,
4015,Commissariat de police de Saint-Cloud,police,POINT (2.219900799999994 48.84564249973059),27,Rue Dailly,92210,Saint-Cloud,
4025,,police_municipale,POINT (2.206113999999983 49.05082599967974),,,,,
4032,,police_municipale,POINT (2.344581900000037 48.97616349969824),6,Rue de Montmorency,95360,,
4038,Commissariat de police de Paris 12ème arrondissement,police,POINT (2.381178299999974 48.84422179973095),,,,,
4056,Brigade de gendarmerie de Breuillet,gendarmerie,POINT (2.167245727200702 48.57279908344908),75,Route de Saint-Chéron,91650,Breuillet,
4061,Commissariat de police d'Herblay,police,POINT (2.164890146829543 48.98945569928264),,,,,
4066,,police_municipale,POINT (2.691036200000037 48.88151139972173),,,,,
4074,,police_municipale,POINT (2.433828512750805 48.88480141374644),,,,,
4077,,,POINT (2.346286800000006 48.85506789972828),,,,,
4113,Gendarmerie - Brigade de Marines,gendarmerie,POINT (1.990057136768416 49.14178647032052),,,,,
4124,,police_municipale,POINT (2.451140633738126 48.64569075630347),,,,,
4127,Commissariat Central du 5e arrondissement,police,POINT (2.348277000000035 48.84941459972969),,,,,
4146,Commissariat de police de Stains,police,POINT (2.381740099999996 48.96021179970221),47,Avenue Marcel Cachin,,,
4159,Commissariat de police des Mureaux,police,POINT (1.911064399999974 48.99767289969289),26,Avenue Félix Faure,78130,Les Mureaux,
4178,Commissariat de police de Fontainebleau,police,POINT (2.700421769108148 48.4062568656331),11bis,Place de la République,77300,Fontainebleau,
4182,,,POINT (2.496624199999964 48.69721709976742),5,Avenue Pierre Prost,91800,Brunoy,
4189,Brigade de gendarmerie de Persan,gendarmerie,POINT (2.283344407548249 49.14789736212997),,,,,
4208,,,POINT (2.414983090918919 48.83978858861402),,,,,
4225,,police_municipale,POINT (2.350261400000034 48.93561549970831),,,,,
4228,,police_municipale,POINT (2.189763300000015 48.78268769974621),,,,,
4241,,police_municipale,POINT (2.244553600000009 49.01863089968769),,,,,
4266,,police_municipale,POINT (2.457977599999976 49.03090279968467),,,,,
4274,,police_municipale,POINT (1.839253799999969 48.64482009978045),,,,,
4279,Brigade de gendarmerie de Magny-les-Hameaux,gendarmerie,POINT (2.082221324547739 48.72526083441425),1,Rue Marc-Antoine Charpentier,78114,Magny-les-Hameaux,
4296,,police_municipale,POINT (2.09392280510256 48.99658289954741),,,,,
4321,,,POINT (2.157453630841006 48.94079755058088),36,Rue Louise Michel,78500,Sartrouville,
4340,,,POINT (1.746412421522836 48.98686214220312),,,,,
4344,,,POINT (2.388428900000013 48.84012549973201),191,Rue de Charenton,75012,Paris,
4355,,police_municipale,POINT (2.846854199999981 48.3886549998436),,,,,
4360,,police_municipale,POINT (2.29087760000003 48.79053039974429),,,,,
4381,,police_municipale,POINT (2.356857800000045 48.77192139974889),,,,,
4401,Commissariat de police de Champs sur Marne,police,POINT (2.582242500000002 48.84934309972972),,,,,
4414,,police_municipale,POINT (2.611530580891916 48.80192205743251),82,Avenue du Général de Gaulle,77340,Pontault-Combault,
4438,Commissariat de police de Clichy-sous-Bois,police,POINT (2.547949500000036 48.90455219971598),,,,,
4453,Commissariat de police de Saint-Ouen,police,POINT (2.338749699999988 48.9072567997153),,,,,
4455,Commissariat de police de Puteaux,police,POINT (2.237604300000005 48.88382729972112),2,Rue Chante Coq,92800,Puteaux,
4476,Commissariat de police de Neuilly-sur-Seine,police,POINT (2.258719799999958 48.88773229972015),,Rue du Pont,92200,Neuilly-sur-Seine,
4486,,,POINT (2.370707010868993 48.82640730778176),,,,,
4501,Commissariat de police de Houilles,police,POINT (2.18637665495364 48.92574845022133),80,Rue Hoche,78800,Houilles,
4509,,,POINT (2.532876874078256 48.93535257369282),6,Rue de la Gare,93270,Sevran,
4511,Commissariat de police de La Garenne-Colombes,police,POINT (2.240353500000016 48.90617709971562),98,Rue Sartoris,92250,La Garenne Colombes,
4525,,police_municipale,POINT (2.589434999999997 48.90358449971623),117,Avenue des Sciences,77500,Chelles,
4548,,police,POINT (2.284441800000006 48.84727509973018),44,Rue Linois,75015,Paris,
